구별,2006,2009,2012,2015,2018,2021
종로구,61,61,70,71,63,66
중구,60,63,71,69,75,60
용산구,59,61,66,67,75,68
성동구,49,61,60,71,67,67
광진구,53,64,66,70,69,68
동대문구,61,54,59,68,64,58
중랑구,55,62,62,67,69,62
성북구,58,65,63,71,66,67
강북구,58,64,73,70,72,66
도봉구,57,61,71,62,72,65
노원구,61,56,58,70,68,60
은평구,57,69,60,67,72,73
서대문구,55,61,68,61,60,63
마포구,54,61,63,64,69,66
양천구,60,64,67,72,69,66
강서구,53,57,67,65,72,65
구로구,57,63,70,72,73,66
금천구,56,63,71,70,73,65
영등포구,61,64,70,70,71,68
동작구,56,63,71,69,63,64
관악구,58,61,66,67,72,65
서초구,52,64,66,70,67,65
강남구,55,62,65,71,67,65
송파구,56,63,70,73,72,63
강동구,57,64,64,71,69,71
